Date,Average_HDD
2019-08-03,0.31551020408163266
2019-08-04,0.09020408163265306
2019-08-05,0.05469387755102041
2019-08-06,0.06795918367346938
2019-08-07,0.18714285714285714
2019-08-08,0.14979591836734696
2019-08-09,0.03306122448979592
2019-08-10,0.07693877551020409
2019-08-11,0.09612244897959184
2019-08-12,1.1306122448979592
2019-08-13,2.8157142857142854
2019-08-14,2.4667346938775516
2019-08-15,1.6191836734693879
2019-08-16,0.4887755102040816
2019-08-17,0.22857142857142856
2019-08-18,0.05040816326530612
2019-08-19,0.253265306122449
2019-08-20,1.4483673469387757
2019-08-21,1.6075510204081633
2019-08-22,0.5016326530612245
2019-08-23,0.11530612244897959
2019-08-24,0.04
2019-08-25,0.02959183673469388
2019-08-26,0.02836734693877551
2019-08-27,0.02693877551020408
2019-08-28,0.025714285714285714
2019-08-29,0.030204081632653063
2019-08-30,0.027959183673469386
2019-08-31,0.026122448979591838
2019-09-01,0.2053388090349076
2019-09-02,3.3989733059548257
2019-09-03,2.906365503080082
2019-09-04,0.5484599589322382
2019-09-05,4.44517453798768
2019-09-06,6.787268993839837
2019-09-07,7.076591375770021
2019-09-08,7.461601642710472
2019-09-09,8.080698151950719
2019-09-10,7.241273100616017
2019-09-11,5.02422997946612
2019-09-12,0.6164271047227925
2019-09-13,0.4967145790554414
2019-09-14,4.078028747433265
2019-09-15,1.4720739219712524
2019-09-16,3.9932238193018477
2019-09-17,6.105954825462012
2019-09-18,9.447638603696099
2019-09-19,10.483162217659139
2019-09-20,9.8782340862423
2019-09-21,6.285420944558521
2019-09-22,2.7154004106776184
2019-09-23,4.451129363449692
2019-09-24,4.490554414784395
2019-09-25,5.4462012320328546
2019-09-26,3.554414784394251
2019-09-27,2.759753593429158
2019-09-28,4.8217659137577
2019-09-29,3.506365503080082
2019-09-30,5.5981519507186865
2019-10-01,5.783026584867076
2019-10-02,9.757873210633948
2019-10-03,11.564212678936606
2019-10-04,11.331901840490797
2019-10-05,11.34723926380368
2019-10-06,12.907770961145193
2019-10-07,12.471779141104296
2019-10-08,8.908179959100206
2019-10-09,9.121881390593048
2019-10-10,9.979550102249489
2019-10-11,8.152760736196319
2019-10-12,4.107770961145195
2019-10-13,1.4936605316973417
2019-10-14,2.0130879345603274
2019-10-15,4.403271983640082
2019-10-16,8.177300613496932
2019-10-17,6.952351738241309
2019-10-18,7.107157464212679
2019-10-19,8.39161554192229
2019-10-20,6.850511247443763
2019-10-21,6.801840490797546
2019-10-22,8.57361963190184
